Date,Type,Term,Alert_File
20090128,removal,considerable_time,/mnt/c/python/FedSpeak/results/alerts/ALERT-20090128-removal-considerable_time.json
20090128,removal,transitory,/mnt/c/python/FedSpeak/results/alerts/ALERT-20090128-removal-transitory.json
20090923,removal,full_range_of_tools,/mnt/c/python/FedSpeak/results/alerts/ALERT-20090923-removal-full_range_of_tools.json
20091104,removal,full_range_of_tools,/mnt/c/python/FedSpeak/results/alerts/ALERT-20091104-removal-full_range_of_tools.json
20091216,emergence,accommodative,/mnt/c/python/FedSpeak/results/alerts/ALERT-20091216-emergence-accommodative.json
20091216,emergence,transitory,/mnt/c/python/FedSpeak/results/alerts/ALERT-20091216-emergence-transitory.json
20100316,removal,transitory,/mnt/c/python/FedSpeak/results/alerts/ALERT-20100316-removal-transitory.json
20100428,removal,transitory,/mnt/c/python/FedSpeak/results/alerts/ALERT-20100428-removal-transitory.json
20100810,removal,accommodative,/mnt/c/python/FedSpeak/results/alerts/ALERT-20100810-removal-accommodative.json
20100921,removal,accommodative,/mnt/c/python/FedSpeak/results/alerts/ALERT-20100921-removal-accommodative.json
20101214,removal,accommodative,/mnt/c/python/FedSpeak/results/alerts/ALERT-20101214-removal-accommodative.json
20110126,removal,accommodative,/mnt/c/python/FedSpeak/results/alerts/ALERT-20110126-removal-accommodative.json
20110126,removal,transitory,/mnt/c/python/FedSpeak/results/alerts/ALERT-20110126-removal-transitory.json
20110315,removal,accommodative,/mnt/c/python/FedSpeak/results/alerts/ALERT-20110315-removal-accommodative.json
20110809,removal,patient,/mnt/c/python/FedSpeak/results/alerts/ALERT-20110809-removal-patient.json
20110921,emergence,accommodative,/mnt/c/python/FedSpeak/results/alerts/ALERT-20110921-emergence-accommodative.json
20110921,removal,considerable_time,/mnt/c/python/FedSpeak/results/alerts/ALERT-20110921-removal-considerable_time.json
20110921,removal,patient,/mnt/c/python/FedSpeak/results/alerts/ALERT-20110921-removal-patient.json
20110921,removal,transitory,/mnt/c/python/FedSpeak/results/alerts/ALERT-20110921-removal-transitory.json
20111102,removal,considerable_time,/mnt/c/python/FedSpeak/results/alerts/ALERT-20111102-removal-considerable_time.json
20111213,removal,transitory,/mnt/c/python/FedSpeak/results/alerts/ALERT-20111213-removal-transitory.json
20120913,emergence,considerable_time,/mnt/c/python/FedSpeak/results/alerts/ALERT-20120913-emergence-considerable_time.json
20121212,emergence,transitory,/mnt/c/python/FedSpeak/results/alerts/ALERT-20121212-emergence-transitory.json
20130619,emergence,accommodative,/mnt/c/python/FedSpeak/results/alerts/ALERT-20130619-emergence-accommodative.json
20130619,emergence,considerable_time,/mnt/c/python/FedSpeak/results/alerts/ALERT-20130619-emergence-considerable_time.json
20130619,emergence,patient,/mnt/c/python/FedSpeak/results/alerts/ALERT-20130619-emergence-patient.json
20130619,emergence,transitory,/mnt/c/python/FedSpeak/results/alerts/ALERT-20130619-emergence-transitory.json
20130918,emergence,accommodative,/mnt/c/python/FedSpeak/results/alerts/ALERT-20130918-emergence-accommodative.json
20130918,emergence,considerable_time,/mnt/c/python/FedSpeak/results/alerts/ALERT-20130918-emergence-considerable_time.json
20130918,removal,transitory,/mnt/c/python/FedSpeak/results/alerts/ALERT-20130918-removal-transitory.json
20131218,emergence,patient,/mnt/c/python/FedSpeak/results/alerts/ALERT-20131218-emergence-patient.json
20140129,removal,transitory,/mnt/c/python/FedSpeak/results/alerts/ALERT-20140129-removal-transitory.json
20141029,removal,patient,/mnt/c/python/FedSpeak/results/alerts/ALERT-20141029-removal-patient.json
